name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,rating,date
Woodcutter Simulator 2016,PS4,2015.0,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01,,,,,,2015-11-24
Kidz Sports International Soccer,Wii,2008.0,Sports,Bold Games,0.01,0.0,0.0,0.0,0.01,,,,,E,2008-07-19
Days of Memories 3,DS,2009.0,Adventure,SNK Playmore,0.0,0.0,0.01,0.0,0.01,,,,,,2009-07-22
Thief: The Dark Project,PC,1997.0,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.01,92.0,18.0,9.1,321.0,M,1997-02-24
Chainz Galaxy,PC,2011.0,Puzzle,Avanquest,0.0,0.01,0.0,0.0,0.01,,,,,E,2011-10-15
Soukai Buccaneers,PSV,2014.0,Adventure,Unknown,0.0,0.0,0.01,0.0,0.01,,,,,,2014-04-04
"Kono Oozora ni, Tsubasa o Hirogete: Cruise Sign",PSV,2016.0,Adventure,5p,0.0,0.0,0.01,0.0,0.01,,,,,,2016-06-16
Asphalt: Urban GT 2,PSP,2006.0,Racing,Ubisoft,0.0,0.01,0.0,0.0,0.01,42.0,4.0,,,E10+,2006-10-01
Disney Universe,PC,2011.0,Action,Disney Interactive Studios,0.01,0.0,0.0,0.0,0.01,,,,,E10+,2011-09-14
Galactic Civilizations III,PC,2015.0,Strategy,Unknown,0.0,0.01,0.0,0.0,0.01,81.0,31.0,6.5,200.0,,2015-10-14
Cheggers Party Quiz,Wii,2008.0,Misc,Oxygen Interactive,0.0,0.01,0.0,0.0,0.01,,,,,,2008-01-04
Momotsuki: Koufuu no Misasagi-Ou,PS2,2009.0,Adventure,Kadokawa Shoten,0.0,0.0,0.01,0.0,0.01,,,,,,2009-03-23
The Adventures of Tintin: The Game,PC,2011.0,Action,Ubisoft,0.0,0.0,0.0,0.0,0.01,,,7.4,19.0,E10+,2011-04-09
Maximum Racing: Super Karts,Wii,2011.0,Racing,Nordic Games,0.01,0.0,0.0,0.0,0.01,,,,,E,2011-12-22
Rig Racer 2,Wii,2008.0,Racing,Popcorn Arcade,0.01,0.0,0.0,0.0,0.01,,,,,E,2008-12-23
Secret Mysteries in London,3DS,2011.0,Puzzle,Unknown,0.0,0.01,0.0,0.0,0.01,,,,,,2011-11-14
Jyuzaengi: Engetsu Sangokuden 1 + 2,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,2015-10-01
PDC World Championship Darts 2008,PC,2008.0,Sports,Oxygen Interactive,0.0,0.01,0.0,0.0,0.01,,,,,,2008-09-11
Kamiwaza Wanda: Kira Kira Ichibangai Kikiippatsu!,3DS,2016.0,Action,FuRyu,0.0,0.0,0.01,0.0,0.01,,,,,,2016-06-05
Marvel Disk Wars: Avengers - Ultimate Heroes,3DS,2014.0,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,,,,,,2014-08-18
NBA 2K13,PSP,2012.0,Sports,Take-Two Interactive,0.0,0.0,0.0,0.0,0.01,,,7.3,7.0,E,2012-06-03
Kurogane no Linebarrels,PSP,2009.0,Role-Playing,Hudson Soft,0.0,0.0,0.01,0.0,0.01,,,,,,2009-01-13
Hakuoki: Reimeiroku Nagorigusa,PS3,2012.0,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,2012-02-10
Live-On DS,DS,2009.0,Action,Acquire,0.0,0.0,0.01,0.0,0.01,,,,,,2009-03-21
Norimono Oukoku DS: You! Unten Shichai na Yo!,DS,2008.0,Misc,D3Publisher,0.0,0.0,0.01,0.0,0.01,,,,,,2008-06-01
0-ji no Kane to Cinderella: Halloween Wedding,PSP,2013.0,Misc,Quinrose,0.0,0.0,0.01,0.0,0.01,,,,,,2013-08-01
Sugar Sugar Rune: Queen Shiken wa Dai Panic,DS,2006.0,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,,,,,,2006-04-20
Secret Files 2: Puritas Cordis,DS,2009.0,Adventure,Deep Silver,0.0,0.01,0.0,0.0,0.01,70.0,5.0,,,T,2009-11-01
Sega Rally Championship,GBA,2002.0,Racing,Atari,0.01,0.0,0.0,0.0,0.01,59.0,8.0,,,E,2002-09-06
Disney's Little Einsteins,GBA,2006.0,Misc,Disney Interactive Studios,0.01,0.0,0.0,0.0,0.01,,,,,E,2006-03-06
Phantom Breaker,PS3,2013.0,Fighting,5p,0.0,0.0,0.01,0.0,0.01,,,,,,2013-09-12
Qupu!! Mame Goma!,DS,2009.0,Simulation,Creative Core,0.0,0.0,0.01,0.0,0.01,,,,,,2009-01-18
Dun\xe2\x86\x90Dam: Dungeons & Dam,DS,2009.0,Role-Playing,Acquire,0.0,0.0,0.01,0.0,0.01,,,,,,2009-07-18
Clannad,PSV,2014.0,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01,,,,,,2014-12-06
Desert Kingdom,PS2,2010.0,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,2010-07-03
Hanasaku Manimani,PSP,2013.0,Adventure,5p,0.0,0.0,0.01,0.0,0.01,,,,,,2013-09-01
Chibi Devi!,3DS,2012.0,Action,Alchemist,0.0,0.0,0.01,0.0,0.01,,,,,,2012-08-17
Yosumin. DS,DS,2007.0,Puzzle,Square Enix,0.0,0.0,0.01,0.0,0.01,,,,,,2007-10-09
Xia-Xia,DS,2012.0,Platform,GameMill Entertainment,0.0,0.0,0.0,0.0,0.01,,,,,E,2012-02-20
Brian Lara International Cricket 2007,X360,2007.0,Sports,Codemasters,0.0,0.01,0.0,0.0,0.01,,,,,,2007-06-06
Gurumin: A Monstrous Adventure,PSP,2006.0,Role-Playing,505 Games,0.01,0.0,0.0,0.0,0.01,78.0,41.0,7.7,20.0,E10+,2006-09-25
Memories Off: Sorekara,PSP,2008.0,Adventure,5p,0.0,0.0,0.01,0.0,0.01,,,,,,2008-08-25
City Racer,GC,2003.0,Racing,Ubisoft,0.01,0.0,0.0,0.0,0.01,58.0,4.0,6.3,4.0,E,2003-06-14
